Interest,Work_Style,Strengths,Communication_Skills,Leadership_Skills,Teamwork_Skills,Decision_Making,Aptitude_Level,Field_of_Study,Years_of_Experience,Adaptability,Time_Management,Problem_Solving,Emotional_Intelligence,Stress_Tolerance,Learning_Style,Certifications_Count,Technical_Skill_Level,Career_Goals,Location_Preference,Willing_to_Relocate,Highest_Degree,GPA,Internship_Experience,Remote_Work_Experience,Risk_Tolerance,Introvert_Extrovert_Score,Creativity_Score,Courses_Completed,Work_Hour_Flexibility,Workplace_Preference,Salary_Expectation,LinkedIn_Portfolio,GitHub_Repos,Public_Speaking_Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Predicted_Career_Field
Electrical Engineer,Flexible,Analytical,low,high,medium,high,high,Engineering,2,high,medium,medium,low,low,Auditory,3,low,Achieve success as a Electrical Engineer.,rural,no,master,3.25,yes,yes,high,high,low,0,freelance,hybrid,95245,no,2,yes,low,high,high,high,high,Electrical Engineer
Biomedical Engineer,Independent,Analytical,low,low,high,low,low,Engineering,10,high,low,high,high,medium,Reading/Writing,1,low,Achieve success as a Biomedical Engineer.,flexible,yes,master,3.76,yes,yes,low,low,high,1,9to5,hybrid,61313,yes,7,yes,low,low,low,high,medium,Biomedical Engineer
HR Recruiter,Flexible,Strategic,high,high,medium,medium,high,Computer Science/IT,4,high,low,low,low,high,Visual,3,medium,Achieve success as a HR Recruiter.,rural,yes,master,2.54,yes,no,low,high,low,10,shifts,hybrid,65753,no,3,yes,medium,medium,high,high,high,HR Recruiter
Social Worker,Collaborative,Analytical,high,low,high,high,low,Education/Social Sciences,3,low,high,low,high,low,Auditory,1,high,Achieve success as a Social Worker.,urban,no,master,2.26,no,no,medium,low,high,5,freelance,onsite,66042,no,4,no,low,medium,high,low,low,Social Worker
Forensic Psychologist,Flexible,Strategic,medium,medium,high,low,high,Other,8,low,high,low,medium,high,Visual,1,high,Achieve success as a Forensic Psychologist.,rural,no,diploma,3.37,no,yes,medium,medium,medium,2,freelance,remote,99925,no,8,yes,medium,high,low,low,high,Forensic Psychologist
Psychologist,Independent,Analytical,medium,medium,high,low,medium,Other,2,low,low,high,low,high,Visual,4,high,Achieve success as a Psychologist.,urban,no,diploma,2.79,yes,yes,low,low,medium,7,shifts,hybrid,76744,yes,5,yes,high,low,medium,low,low,Psychologist
Insurance Underwriter,Collaborative,Analytical,low,medium,high,medium,high,Computer Science/IT,9,high,low,high,low,high,Visual,5,medium,Achieve success as a Insurance Underwriter.,flexible,no,diploma,2.36,no,no,low,medium,low,0,freelance,hybrid,68058,no,5,yes,low,high,low,medium,high,Insurance Underwriter
Marine Biologist,Flexible,Analytical,low,low,low,low,high,Science,9,low,medium,low,low,low,Reading/Writing,0,medium,Achieve success as a Marine Biologist.,flexible,yes,bachelor,3.66,no,no,low,medium,low,7,shifts,hybrid,92603,no,9,no,low,high,low,high,high,Marine Biologist
Psychologist,Independent,Strategic,high,medium,low,medium,medium,Other,0,low,medium,medium,medium,low,Auditory,2,high,Achieve success as a Psychologist.,urban,yes,diploma,2.68,yes,no,low,medium,medium,10,9to5,remote,68662,no,3,yes,low,medium,high,medium,medium,Psychologist
Software Developer,Flexible,Strategic,medium,high,medium,medium,low,Computer Science/IT,1,low,low,high,high,medium,Visual,0,high,Achieve success as a Software Developer.,urban,yes,bachelor,2.51,no,yes,high,medium,low,0,freelance,onsite,68737,yes,7,yes,low,medium,low,high,low,Software Developer
Astronomer,Collaborative,Creative,high,low,high,low,medium,Science,4,low,low,high,medium,low,Kinesthetic,0,high,Achieve success as a Astronomer.,rural,no,bachelor,3.07,no,no,medium,low,medium,5,freelance,onsite,89997,yes,3,no,low,medium,low,low,medium,Astronomer
IT Support Specialist,Independent,Strategic,low,high,medium,medium,high,Computer Science/IT,8,medium,low,low,medium,medium,Auditory,1,high,Achieve success as a IT Support Specialist.,rural,no,diploma,2.08,yes,no,high,medium,low,5,shifts,remote,89555,no,8,yes,high,low,high,high,low,IT Support Specialist
Accountant,Collaborative,Strategic,low,high,high,low,high,Finance/Accounting,2,medium,high,medium,high,high,Kinesthetic,4,low,Achieve success as a Accountant.,rural,no,PhD,3.69,yes,yes,medium,high,high,7,shifts,remote,92347,no,9,no,low,low,medium,low,low,Accountant
Technical Writer,Flexible,Strategic,medium,low,low,medium,high,Computer Science/IT,0,low,low,low,high,medium,Reading/Writing,5,medium,Achieve success as a Technical Writer.,rural,yes,PhD,2.16,yes,no,high,low,medium,0,freelance,onsite,79075,no,4,yes,high,high,medium,medium,medium,Technical Writer
Astronomer,Independent,Strategic,high,medium,medium,high,high,Science,0,high,medium,medium,low,medium,Kinesthetic,4,medium,Achieve success as a Astronomer.,rural,yes,master,2.21,no,no,medium,low,low,3,freelance,remote,94867,no,6,yes,medium,medium,high,medium,medium,Astronomer
Web Developer,Collaborative,Strategic,low,high,low,low,medium,Computer Science/IT,1,high,high,high,low,low,Auditory,0,low,Achieve success as a Web Developer.,rural,yes,master,2.9,yes,no,low,medium,high,3,9to5,hybrid,67925,yes,0,no,high,high,low,low,low,Web Developer
Financial Advisor,Collaborative,Analytical,high,low,high,high,medium,Finance/Accounting,9,low,low,high,high,medium,Auditory,1,high,Achieve success as a Financial Advisor.,urban,no,master,2.25,no,no,medium,high,medium,2,freelance,hybrid,92754,no,3,no,medium,high,low,low,low,Financial Advisor
Wildlife Conservationist,Collaborative,Creative,medium,high,medium,high,high,Other,2,medium,low,low,high,medium,Visual,2,low,Achieve success as a Wildlife Conservationist.,rural,no,diploma,2.23,no,no,high,low,medium,1,freelance,remote,86288,no,7,yes,high,medium,low,medium,medium,Wildlife Conservationist
Biologist,Flexible,,medium,low,low,high,low,Science,9,high,high,medium,low,low,Auditory,5,high,Achieve success as a Biologist.,rural,yes,diploma,2.48,yes,no,low,medium,high,7,shifts,hybrid,72073,yes,10,yes,medium,low,medium,low,low,Biologist
Physician,Flexible,Strategic,low,high,medium,high,medium,Health Sciences,6,low,medium,medium,medium,high,Auditory,3,high,Achieve success as a Physician.,urban,no,PhD,3.84,yes,yes,medium,high,high,10,9to5,onsite,78847,no,9,no,high,low,medium,medium,low,Physician
Artist,Independent,Analytical,medium,medium,medium,low,high,Arts/Hospitality,8,medium,high,high,high,medium,Kinesthetic,4,high,Achieve success as a Artist.,flexible,yes,bachelor,3.39,yes,yes,low,high,low,4,shifts,onsite,77457,no,0,yes,low,low,low,low,high,Artist
Administrative Officer,Independent,Analytical,medium,high,medium,high,medium,Other,6,medium,medium,medium,low,low,Kinesthetic,2,high,Achieve success as a Administrative Officer.,flexible,yes,diploma,3.26,no,yes,low,low,medium,7,9to5,hybrid,86478,yes,4,yes,high,high,high,medium,medium,Administrative Officer
Insurance Underwriter,Collaborative,Creative,low,low,medium,high,high,Computer Science/IT,0,low,low,medium,high,low,Visual,4,medium,Achieve success as a Insurance Underwriter.,flexible,yes,diploma,2.92,yes,no,high,medium,medium,9,9to5,remote,81998,no,6,no,low,high,low,medium,high,Insurance Underwriter
Speech Pathologist,Flexible,Creative,low,high,low,medium,medium,Other,10,high,low,low,medium,high,Reading/Writing,4,high,Achieve success as a Speech Pathologist.,rural,no,diploma,2.68,no,yes,high,high,medium,5,shifts,onsite,94335,no,3,no,low,high,low,high,high,Speech Pathologist
Marketing Copywriter,Independent,Creative,low,medium,high,medium,low,Computer Science/IT,1,high,medium,low,high,high,Reading/Writing,2,medium,Achieve success as a Marketing Copywriter.,urban,no,diploma,2.52,no,yes,high,low,high,4,freelance,remote,84113,yes,3,no,low,medium,low,low,high,Marketing Copywriter
Financial Analyst,Collaborative,Creative,medium,low,low,low,medium,Finance/Accounting,10,medium,medium,medium,low,medium,Auditory,1,medium,Achieve success as a Financial Analyst.,rural,no,diploma,3.32,yes,no,high,high,medium,1,shifts,hybrid,82789,yes,9,yes,medium,low,medium,high,medium,Financial Analyst
Pediatrician,Flexible,Analytical,low,low,medium,high,high,Other,9,high,low,medium,low,medium,Kinesthetic,1,medium,Achieve success as a Pediatrician.,rural,yes,master,3.45,no,no,low,medium,high,4,shifts,hybrid,98885,yes,9,yes,high,low,medium,medium,high,Pediatrician
Marriage Counselor,Flexible,Creative,high,low,high,medium,high,Education/Social Sciences,8,medium,medium,low,low,medium,Visual,5,medium,Achieve success as a Marriage Counselor.,rural,no,bachelor,2.26,yes,no,low,low,medium,8,shifts,hybrid,92960,yes,2,no,low,medium,high,low,high,Marriage Counselor
Software Developer,Collaborative,Analytical,low,high,high,medium,medium,Computer Science/IT,8,medium,high,medium,high,high,Auditory,3,low,Achieve success as a Software Developer.,urban,no,PhD,2.98,no,no,high,high,low,2,shifts,remote,79686,yes,2,no,high,medium,high,medium,low,Software Developer
Marketing Analyst,Independent,Strategic,low,high,high,low,low,Finance/Accounting,5,medium,low,low,low,high,Reading/Writing,2,high,Achieve success as a Marketing Analyst.,rural,yes,bachelor,3.84,no,no,high,high,high,0,freelance,onsite,61900,yes,7,no,high,high,low,high,high,Marketing Analyst
Product Manager,Flexible,Analytical,high,high,high,low,high,Other,1,high,high,low,high,low,Visual,2,low,Achieve success as a Product Manager.,urban,no,diploma,2.22,yes,no,low,low,high,0,9to5,remote,79546,yes,8,no,low,medium,high,medium,medium,Product Manager
Technical Writer,Independent,Analytical,medium,medium,high,high,low,Computer Science/IT,2,medium,low,medium,high,high,Kinesthetic,0,medium,Achieve success as a Technical Writer.,rural,no,diploma,2.28,yes,yes,medium,high,high,0,9to5,onsite,84545,no,7,no,high,high,medium,high,medium,Technical Writer
Aerospace Engineer,Flexible,Creative,medium,medium,low,medium,high,Engineering,7,low,low,high,medium,medium,Reading/Writing,4,low,Achieve success as a Aerospace Engineer.,rural,no,diploma,3.41,yes,yes,low,high,low,7,9to5,remote,86820,yes,4,yes,high,medium,low,high,high,Aerospace Engineer
Occupational Therapist,Independent,Creative,high,high,medium,medium,medium,Health Sciences,8,low,low,low,high,low,Kinesthetic,4,medium,Achieve success as a Occupational Therapist.,flexible,no,diploma,3.59,yes,yes,high,high,medium,3,shifts,hybrid,87934,no,10,yes,medium,high,high,medium,low,Occupational Therapist
Social Media Manager,Independent,Creative,high,low,low,high,medium,Other,3,low,low,medium,low,medium,Visual,5,high,Achieve success as a Social Media Manager.,urban,no,bachelor,2.44,no,yes,low,low,medium,1,9to5,onsite,89228,yes,3,no,low,medium,high,low,high,Social Media Manager
Construction Engineer,Independent,Strategic,high,high,low,high,medium,Engineering,1,high,medium,medium,medium,high,Kinesthetic,4,low,Achieve success as a Construction Engineer.,flexible,yes,bachelor,3.77,no,no,low,high,medium,4,freelance,remote,89354,yes,8,no,high,medium,high,high,medium,Construction Engineer
Human Resources Manager,Independent,Creative,high,medium,medium,medium,high,Other,0,low,low,low,low,low,Visual,2,high,Achieve success as a Human Resources Manager.,rural,no,master,2.77,no,no,low,low,high,9,9to5,remote,82332,yes,9,yes,high,medium,low,low,low,Human Resources Manager
Police Detective,Flexible,Analytical,low,medium,low,low,low,Other,9,medium,high,medium,high,low,Auditory,2,low,Achieve success as a Police Detective.,rural,no,bachelor,2.91,yes,no,medium,medium,high,0,shifts,hybrid,89959,yes,2,no,high,low,medium,low,low,Police Detective
Event Planner,Flexible,Creative,medium,high,low,medium,medium,Finance/Accounting,2,high,medium,medium,medium,medium,Auditory,5,low,Achieve success as a Event Planner.,urban,yes,PhD,2.82,yes,no,high,high,medium,9,shifts,remote,96523,yes,8,no,medium,high,low,medium,medium,Event Planner
Diplomat,Collaborative,Analytical,low,high,low,high,medium,Other,1,low,medium,low,low,low,Kinesthetic,1,medium,Achieve success as a Diplomat.,rural,yes,PhD,2.66,no,no,high,low,medium,9,shifts,remote,61879,no,8,yes,low,high,high,medium,medium,Diplomat
Physical Therapist,Flexible,Creative,high,high,high,low,low,Health Sciences,2,high,medium,high,low,low,Auditory,3,high,Achieve success as a Physical Therapist.,rural,yes,bachelor,3.14,no,yes,medium,low,high,2,shifts,hybrid,85099,no,6,no,medium,low,low,high,high,Physical Therapist
IT Support Specialist,Flexible,Strategic,medium,low,medium,low,low,Computer Science/IT,5,high,medium,medium,high,high,Reading/Writing,1,low,Achieve success as a IT Support Specialist.,urban,yes,diploma,2.23,yes,yes,medium,low,medium,6,9to5,hybrid,91798,no,3,yes,high,low,high,high,low,IT Support Specialist
Genetic Counselor,Collaborative,Analytical,high,high,medium,medium,high,Education/Social Sciences,4,high,high,low,high,high,Auditory,1,low,Achieve success as a Genetic Counselor.,flexible,yes,PhD,3.71,no,no,high,high,low,6,shifts,hybrid,71535,yes,10,yes,medium,medium,medium,high,medium,Genetic Counselor
Marketing Manager,Collaborative,Analytical,medium,high,medium,high,high,Communications/Marketing,4,medium,high,high,medium,high,Visual,5,high,Achieve success as a Marketing Manager.,rural,yes,PhD,3.08,yes,no,high,high,low,1,9to5,onsite,70380,yes,5,no,low,low,high,medium,medium,Marketing Manager
Psychologist,Independent,Analytical,high,high,high,high,high,Other,5,high,low,medium,medium,medium,Auditory,3,low,Achieve success as a Psychologist.,flexible,yes,bachelor,3.77,yes,no,low,medium,medium,0,shifts,hybrid,86874,yes,4,no,medium,high,low,medium,low,Psychologist
Rehabilitation Counselor,Collaborative,Strategic,low,medium,low,low,medium,Education/Social Sciences,0,low,medium,medium,low,medium,Kinesthetic,2,low,Achieve success as a Rehabilitation Counselor.,rural,yes,bachelor,3.69,yes,no,medium,medium,high,5,freelance,onsite,72176,no,6,no,low,high,high,medium,medium,Rehabilitation Counselor
Data Analyst,Collaborative,Analytical,medium,medium,high,medium,medium,Finance/Accounting,6,low,medium,high,low,medium,Visual,5,medium,Achieve success as a Data Analyst.,urban,yes,bachelor,3.85,yes,yes,low,medium,low,10,shifts,remote,64514,yes,3,yes,medium,medium,low,high,low,Data Analyst
Investment Banker,Flexible,Strategic,low,medium,high,low,low,Finance/Accounting,1,medium,high,medium,high,low,Kinesthetic,4,high,Achieve success as a Investment Banker.,urban,yes,master,2.65,no,yes,medium,high,high,2,shifts,onsite,67207,no,10,yes,low,high,high,low,medium,Investment Banker
Event Photographer,Independent,Analytical,high,medium,medium,medium,medium,Arts/Hospitality,0,low,high,medium,high,medium,Auditory,1,low,Achieve success as a Event Photographer.,flexible,yes,bachelor,3.75,no,yes,high,low,high,3,freelance,remote,80887,no,0,yes,low,low,low,low,high,Event Photographer
Software Quality Assurance Tester,Collaborative,Analytical,high,medium,low,medium,low,Computer Science/IT,5,low,high,low,low,low,Visual,3,low,Achieve success as a Software Quality Assurance Tester.,rural,yes,diploma,2.54,no,no,low,high,high,5,9to5,onsite,76597,yes,8,yes,medium,high,low,medium,medium,Software Quality Assurance Tester
Chiropractor,Collaborative,Analytical,low,high,low,low,medium,Health Sciences,6,low,low,low,medium,high,Visual,4,high,Achieve success as a Chiropractor.,rural,yes,diploma,3.3,no,yes,high,low,medium,9,freelance,remote,66496,yes,7,no,low,low,low,high,low,Chiropractor
Rehabilitation Counselor,Independent,Analytical,low,high,medium,low,high,Education/Social Sciences,4,low,low,low,low,medium,Visual,3,low,Achieve success as a Rehabilitation Counselor.,rural,no,bachelor,2.39,no,no,low,high,high,3,shifts,hybrid,83286,yes,0,no,medium,low,medium,medium,low,Rehabilitation Counselor
Marketing Manager,Independent,Analytical,low,medium,high,high,high,Communications/Marketing,9,low,high,medium,low,high,Reading/Writing,1,low,Achieve success as a Marketing Manager.,flexible,no,PhD,3.3,yes,yes,high,medium,low,3,freelance,onsite,74624,no,8,yes,high,low,high,high,medium,Marketing Manager
Pediatrician,Flexible,Analytical,medium,low,medium,low,low,Other,4,high,low,medium,low,low,Reading/Writing,1,medium,Achieve success as a Pediatrician.,flexible,no,diploma,3.42,yes,yes,medium,low,low,1,9to5,remote,74842,yes,4,no,low,high,high,low,high,Pediatrician
Tax Accountant,Flexible,Strategic,high,low,high,medium,high,Finance/Accounting,3,low,high,low,low,medium,Visual,5,high,Achieve success as a Tax Accountant.,urban,yes,master,2.59,yes,yes,high,medium,high,9,9to5,onsite,71475,yes,3,yes,low,high,high,low,medium,Tax Accountant
Biomedical Researcher,Independent,Analytical,low,low,high,low,high,Health Sciences,2,high,low,high,medium,medium,Reading/Writing,4,high,Achieve success as a Biomedical Researcher.,urban,yes,diploma,2.61,no,yes,medium,high,high,4,9to5,hybrid,95044,yes,3,no,high,low,high,low,medium,Biomedical Researcher
Teacher,Flexible,Analytical,low,low,high,high,high,Education/Social Sciences,9,low,high,low,low,high,Reading/Writing,3,high,Achieve success as a Teacher.,rural,no,diploma,3.22,no,yes,low,medium,low,3,9to5,hybrid,88856,no,10,yes,low,high,low,low,high,Teacher
Marketing Copywriter,Independent,Strategic,high,low,medium,high,low,Computer Science/IT,0,medium,high,high,medium,medium,Auditory,0,high,Achieve success as a Marketing Copywriter.,flexible,yes,bachelor,3.77,no,no,medium,high,medium,4,9to5,hybrid,86527,no,5,no,low,high,medium,medium,low,Marketing Copywriter
Real Estate Agent,Collaborative,Strategic,medium,medium,medium,high,medium,Other,3,medium,low,low,medium,low,Reading/Writing,2,medium,Achieve success as a Real Estate Agent.,urban,yes,diploma,2.33,yes,yes,high,high,medium,9,shifts,remote,72125,no,8,yes,high,high,medium,low,low,Real Estate Agent
Psychologist,Collaborative,Analytical,medium,medium,medium,high,low,Other,6,medium,medium,high,high,medium,Kinesthetic,2,high,Achieve success as a Psychologist.,rural,yes,master,3.51,yes,no,low,medium,high,7,9to5,hybrid,67870,no,7,yes,high,low,high,low,low,Psychologist
